username, created_at, lng, lat, text
michaeliaaa_, Wed Apr 22 14:37:06 +0000 2020, -90.571388, 30.509383, This is all news to me 
Mikeegogo, Wed Apr 22 14:37:06 +0000 2020, -73.507119, 40.699304, @NYGovCuomo you have asked me to stay home I am. I am keeping my kids home (even though their daycare is still char… https://t.co/2NXuorEsrw 
BethRitterGuth, Wed Apr 22 14:37:07 +0000 2020, -75.617293, 40.801490, @th3j35t3r Our pride and joy. 
FarrFetchedd, Wed Apr 22 14:37:07 +0000 2020, -93.262046, 44.970610, @JoryBowers 😭❤️❤️😭Love &amp; miss you so much, FlourMama. 
TheRealTrelle, Wed Apr 22 14:37:07 +0000 2020, -81.516751, 41.080877, @pulte Congratulations!! #BailoutHumans#BailoutHumansNow#BailOutPeopleNotCorporations$therealtrelle https://t.co/g4yQLCvKzU 
VegOutHsv, Wed Apr 22 14:37:07 +0000 2020, -86.611411, 34.706027, Happy #EarthDay50! 🌏 It's the 50th anniversary of this special day. Our celebration today has changed a lot due to… https://t.co/bWD7BFUrQd 
Autym_BbyHulk_3, Wed Apr 22 14:37:07 +0000 2020, -97.285913, 32.779967, @Shay_Mims Bitch it’s 9 am lol 
PugascornerAISD, Wed Apr 22 14:37:07 +0000 2020, -97.863458, 29.989242, It’s another Wellness Wednesday!! Click the link below to get started and exercises your body and your mind💪🏼… https://t.co/UYxx0G5nKA 
rpk8magnet, Wed Apr 22 14:37:07 +0000 2020, -82.442694, 27.996595, Roland Park MYP mural looks fantastic!  Thank you PTSA AND FOUNDATION for making this happen @rpk8magnet… https://t.co/tuM163B5Jc 
ssaratoninn, Wed Apr 22 14:37:07 +0000 2020, -87.967292, 43.056722, @TruckaMuva Lmfaoooo 
Ed_Rivers, Wed Apr 22 14:37:07 +0000 2020, -74.102333, 40.643738, Decided to explore another park by my house today. https://t.co/QTDRkuyrTa 
james_hollett, Wed Apr 22 14:37:07 +0000 2020, -79.272570, 43.629311, https://t.co/od0JVdzYPb 
Julie9320, Wed Apr 22 14:37:07 +0000 2020, -85.170051, 41.086917, Awesome!!👍😎 https://t.co/oAyISBM8Xd 
VegOutHsv, Wed Apr 22 14:37:07 +0000 2020, -86.611411, 34.706027, I also want to remind folks that my Going Plant-Based For A Greener Future article and activities that I put togeth… https://t.co/estB0p6Yfl 
casey_sheehy7, Wed Apr 22 14:37:07 +0000 2020, -71.326858, 42.636248, Earth Day PSA: Don’t feed animals like these two geniuses. https://t.co/CWkabucQHz 
